| Communications | TURKMENISTAN |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 665,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 13 (July 2016 est.) |
| Telephones - mobile cellular: | total: 8.575 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 162 (July 2016 est.) |
| Telephone system: | general assessment: telecommunications network is gradually improving |
| Telephone system: | domestic: Turkmentelekom, in cooperation with foreign partners, has installed high-speed fiber-optic lines and has upgraded most of the country's telephone exchanges and switching centers with new digital technology; combined fixed-line and mobile teledensity is about 170 per 100 persons; Russia's Mobile Telesystems, the only foreign mobile-cellular service provider in Turkmenistan, had its operating license suspended in December 2010 but was able to resume operations in September 2012; Turkmenistan's first telecommunication satellite was launched in 2015 and is expected to greatly improve connectivity in the country |
| Telephone system: | international: country code - 993; linked by fiber-optic cable and microwave radio relay to other CIS republics and to other countries by leased connections to the Moscow international gateway switch; an exchange in Ashgabat switches international traffic through Turkey via Intelsat; satellite earth stations - 1 Orbita and 1 Intelsat (2016) |
| Broadcast media: | broadcast media is government controlled and censored; 7 state-owned TV and 4 state-owned radio networks; satellite dishes and programming provide an alternative to the state-run media; officials sometimes limit access to satellite TV by removing satellite dishes (2007) |
| Internet country code: | .tm |
| Internet users: | total: 951,925 |
| Internet users: | percent of population: 18.0% (July 2016 est.) |
