| Communications | Poland |
| --- | --- |
| Telephones - main lines in use: | 8.07 million (1998) |
| Telephones - mobile cellular: | 13 million (2002) |
| Telephone system: | general assessment: underdeveloped and outmoded system in the process of being overhauled; partial privatization of the state-owned telephone monopoly is underway; the long waiting list for main line telephone service has resulted in a boom in mobile cellular telephone use |
| Telephone system: | domestic: cable, open-wire, and microwave radio relay; 3 cellular networks; local exchanges 56.6% digital |
| Telephone system: | international: satellite earth stations - 2 Intelsat, NA Eutelsat, 2 Inmarsat (Atlantic and Indian Ocean regions), and 1 Intersputnik (Atlantic Ocean region) |
| Radio broadcast stations: | AM 14, FM 777, shortwave 1 (1998) |
| Radios: | 20.2 million (1997) |
| Television broadcast stations: | 179 (plus 256 repeaters) (September 1995) |
| Televisions: | 13.05 million (1997) |
| Internet country code: | .pl |
| Internet Service Providers (ISPs): | 19 (2000) |
| Internet users: | 6.4 million (2001) |
