| Communications |
| --- | --- |
| Telephones - main lines in use: | 627,000 (1997) |
| Telephones - mobile cellular: | 2,200 (1997) |
| Telephone system: | general assessment: inadequate, outmoded, poor service outside Chisinau, some effort to modernize is under way |
| Telephone system: | domestic: new subscribers face long wait for service; mobile cellular telephone service being introduced |
| Telephone system: | international: service through Romania and Russia via landline; satellite earth stations - Intelsat, Eutelsat, and Intersputnik |
| Radio broadcast stations: | AM 7, FM 50, shortwave 3 (1998) |
| Radios: | 3.22 million (1997) |
| Television broadcast stations: | 1 (plus 30 repeaters) (1995) |
| Televisions: | 1.26 million (1997) |
| Internet country code: | .md |
| Internet Service Providers (ISPs): | 2 (1999) |
| Internet users: | 15,000 (2000) |
