| Communications | Bulgaria |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,302,316 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 18 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 8,532,908 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 120 (2017 est.) |
| Telephone system: | general assessment: inherited an extensive but antiquated telecommunications network from the Soviet era; quality has improved with a modern digital trunk line now connecting switching centers in most of the regions; remaining areas are connected by digital microwave radio relay; Bulgaria has a mature mobile market withÂ active competition (2017) |
| Telephone system: | domestic: fixed-line 18 per 100 persons, Â mobile-cellular teledensity, fostered by multiple service providers, is over 120 telephones per 100 persons (2017) |
| Telephone system: | international: country code - 359; submarine cable provides connectivity to Ukraine and Russia; a combination submarine cable and land fiber-optic system provides connectivity to Italy, Albania, and Macedonia; satellite earth stations - 3 (1 Intersputnik in the Atlantic Ocean region, 2 Intelsat in the Atlantic and Indian Ocean regions) (2016) |
| Broadcast media: | 4 national terrestrial TV stations with 1 state-owned and 3 privately owned; a vast array of TV stations are available from cable and satellite TV providers; state-owned national radio broadcasts over 3 networks; large number of private radio stations broadcasting, especially in urban areas (2010) |
| Internet country code: | .bg |
| Internet users: | total: 4,274,328 (July 2016 est.) |
| Internet users: | percent of population: 59.8% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 1,764,782 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 25 (2017 est.) |
