| Communications | Timor-Leste |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,164 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 1,490,966 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 110.22 (2019 est.) |
| Telecommunication systems: | general assessment: service in urban and some rural areas, which is expanding with the entrance of new competitors; 4G LTE service, with about 97% of population having access,Â among 3 mobile operators;Â increase in mobile broadband penetration; govt. aims to boost e-govt. services with new national terrestrial optical fiber network; the launch in 2019 of the Kacific-1 satellite is important to the telecom sector for the entire region (2020) |
| Telecommunication systems: | domestic: system suffered significant damage during the violence associated with independence; limited fixed-line services, less than 1 per 100 and mobile-cellular services have been expanding and are now available in urban and most rural areas with teledensity of 110 per 100 (2019) |
| Telecommunication systems: | international: country code - 670; Â international service is available; partnership with Australia telecom companies for potential deployment of a submarine fiber-optic link (NWCS);Â geostationary earth orbit satellite |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 7 TV stations (3 nationwide satellite coverage;Â 2 terrestrial coverage, mostly in Dili; 2 cable) and 21 radio stations (3 nationwide coverage) (2019) |
| Internet country code: | .tl |
| Internet users: | total: 363,398 |
| Internet users: | percent of population: 27.49% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 603 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2018 est.) |
