| Communications | TANZANIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 150,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2014 est.) |
| Telephones - mobile cellular: | total: 31.9 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 64 (2014 est.) |
| Telephone system: | general assessment: telecommunications services are marginal; system operating below capacity and being modernized for better service; small aperture terminal (VSAT) system under construction |
| Telephone system: | domestic: fixed-line telephone network inadequate with less than 1 connection per 100 persons; mobile-cellular service, aided by multiple providers, is increasing rapidly and in 2011 exceeded a subscriber base of 50 telephones per 100 persons; trunk service provided by open-wire, microwave radio relay, tropospheric scatter, and fiber-optic cable; some links being made digital |
| Telephone system: | international: country code - 255; landing point for the EASSy fiber-optic submarine cable system linking East Africa with Europe and North America; satellite earth stations - 2 Intelsat (1 Indian Ocean, 1 Atlantic Ocean) (2010) |
| Broadcast media: | a state-owned TV station and multiple privately owned TV stations; state-owned national radio station supplemented by more than 40 privately owned radio stations; transmissions of several international broadcasters are available (2007) |
| Radio broadcast stations: | AM 12, FM 11, shortwave 2 (1998) |
| Television broadcast stations: | 3 (1999) |
| Internet country code: | .tz |
| Internet users: | total: 7.4 million |
| Internet users: | percent of population: 15.0% (2014 est.) |
