| Communications | Serbia |
| --- | --- |
| Telephones - main lines in use: | 3.03 million (2011) |
| Telephones - mobile cellular: | 10.182 million (2011) |
| Telephone system: | general assessment: replacements of, and upgrades to, telecommunications equipment damaged during the 1999 war has resulted in a modern digitalized telecommunications system |
| Telephone system: | domestic: wireless service, available through multiple providers with national coverage, is growing very rapidly; best telecommunications services are centered in urban centers; 3G mobile network launched in 2007 |
| Telephone system: | international: country code - 381 |
| Internet country code: | .rs |
| Internet hosts: | 1.102 million (2012) |
| Internet users: | 4.107 million (2009) |
