| Communications | Serbia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,609,592 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 37 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 8,626,903 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 121 (2017 est.) |
| Telephone system: | general assessment: replacements of, and upgrades to, telecommunications equipment damaged during the 1999 war resulted in a modern digitalized telecommunications system (2016) |
| Telephone system: | domestic: wireless service, available through multiple providers with national coverage, is growing very rapidly; best telecommunications services are centered in urban centers; 4G/LTE mobile network launched in March 2015 (2016) |
| Telephone system: | international: country code - 381 (2016) |
| Internet country code: | .rs |
| Internet users: | total: 4,790,488 (July 2016 est.) |
| Internet users: | percent of population: 67.1% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 1,474,970 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 21 (2017 est.) |
