| Communications | Serbia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,609,592 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 37 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 8,626,903 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 121 (2017 est.) |
| Telephone system: | general assessment: Serbia's integration with the EU has helped regulator reforms and promotion of telecoms; wireless service areÂ available through multiple providers; national coverage is growing very rapidly; best telecommunications services are centered in urban centers; 4G/LTE mobile network launched; 5G trials (2018) |
| Telephone system: | domestic: fixed-line 37 per 100 and mobile-cellular 121 per 100 persons (2018) |
| Telephone system: | international: country code - 381 |
| Internet country code: | .rs |
| Internet users: | total: 4,790,488 |
| Internet users: | percent of population: 67.1% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 1,474,970 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 21 (2017 est.) |
