| Communications | LEBANON |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1.068 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 17 (July 2016 est.) |
| Telephones - mobile cellular: | total: 4,890,534 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 78 (July 2016 est.) |
| Telephone system: | general assessment: repair of the telecommunications system, severely damaged during the civil war, now complete |
| Telephone system: | domestic: two mobile-cellular networks provide good service; combined fixed-line and mobile-cellular subscribership about 95 per 100 persons |
| Telephone system: | international: country code - 961; submarine cable links to Cyprus, Egypt, and Syria; satellite earth stations - 2 Intelsat (1 Indian Ocean and 1 Atlantic Ocean); coaxial cable to Syria (2016) |
| Broadcast media: | 7 TV stations, 1 of which is state owned; more than 30 radio stations, 1 of which is state owned; satellite and cable TV services available; transmissions of at least 2 international broadcasters are accessible through partner stations (2007) |
| Internet country code: | .lb |
| Internet users: | total: 4,747,542 |
| Internet users: | percent of population: 76.1% (July 2016 est.) |
