| Communications | Lebanon |
| --- | --- |
| Telephones - main lines in use: | 878,000 (2012) |
| Telephones - mobile cellular: | 4 million (2012) |
| Telephone system: | general assessment: repair of the telecommunications system, severely damaged during the civil war, now complete |
| Telephone system: | domestic: two mobile-cellular networks provide good service; combined fixed-line and mobile-cellular subscribership roughly 100 per 100 persons |
| Telephone system: | international: country code - 961; submarine cable links to Cyprus, Egypt, and Syria; satellite earth stations - 2 Intelsat (1 Indian Ocean and 1 Atlantic Ocean); coaxial cable to Syria (2011) |
| Broadcast media: | 7 TV stations, 1 of which is state-owned; more than 30 radio stations, 1 of which is state-owned; satellite and cable TV services available; transmissions of at least 2 international broadcasters are accessible through partner stations (2007) |
| Internet country code: | .lb |
| Internet hosts: | 64,926 (2012) |
| Internet users: | 1 million (2009) |
