| Communications | American Samoa |
| --- | --- |
| Telephones - main lines in use: | 10,400 (2009) |
| Telephone system: | general assessment: NA |
| Telephone system: | domestic: good telex, telegraph, facsimile, and cellular telephone services; domestic satellite system with 1 Comsat earth station |
| Telephone system: | international: country code - 1-684; satellite earth station - 1 (Intelsat-Pacific Ocean) |
| Broadcast media: | 3 TV stations; multi-channel pay TV services are available; about a dozen radio stations, some of which are repeater stations (2009) |
| Internet country code: | .as |
| Internet hosts: | 2,387 (2012) |
| Internet users: | NA |
