| Communications | Oman |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 497,716 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 11 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 6,943,910 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 151 (2017 est.) |
| Telephone system: | general assessment: modern system consisting of open-wire, microwave, and radiotelephone communication stations; coaxial cable; domestic satellite system with 8 earth stations; both 3G and 4G LTE networks; exploring 5G options; competition among mobile network operators (MNO) (2018) |
| Telephone system: | domestic: fixed-line 11 per 100 and mobile-cellular 151 per 100, subscribership both increasing with fixed-line phone service gradually being introduced to remote villages using wireless local loop systems (2018) |
| Telephone system: | international: country code - 968;Â landing points for GSA, AAE-1,Â SeaMeWe-5, Tata TGN-Gulf,Â FALCON, GBICS/MENA, MENA/Guld Bridge International, TW1, BBG, EIG, OMRAN/EPEG, and POIÂ submarine cables providing connectivity to Asia,Â Africa, the Middle East, Southeast AsiaÂ and Europe; satellite earth stations - 2 Intelsat (Indian Ocean) (2019) |
| Broadcast media: | 1 state-run TV broadcaster; TV stations transmitting from Saudi Arabia, the UAE, Iran, and Yemen available via satellite TV; state-run radio operates multiple stations; first private radio station began operating in 2007 and several additional stations now operating (2019) |
| Internet country code: | .om |
| Internet users: | total: 2,342,483 |
| Internet users: | percent of population: 69.8% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 348,926 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 8 (2017 est.) |
