| Communications | Tokelau |
| --- | --- |
| Telephones - main lines in use: | 300 (2009) |
| Telephone system: | general assessment: modern satellite-based communications system |
| Telephone system: | domestic: radiotelephone service between islands |
| Telephone system: | international: country code - 690; radiotelephone service to Samoa; government-regulated telephone service (TeleTok); satellite earth stations - 3 |
| Broadcast media: | no broadcast television stations; each atoll operates a radio service that provides shipping news and weather reports (2009) |
| Internet country code: | .tk |
| Internet hosts: | 526 (2010) |
| Internet users: | 800 (2008) |
