| Communications | Thailand |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2.91 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 4 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 121.53 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 178 (2017 est.) |
| Telephone system: | general assessment: high quality system, especially in urban areas like Bangkok; mobile and mobile broadband penetrationÂ are on the increase; Fibre-to-the-home (FttH) has seen strong growth in the majorÂ cities; 4GÂ TD-LTE and moving to 5G trials;Â seven smart cities with the hope of 100 smart cities within its borders in the next two decades; one of the biggest e-commerce markets in Southeast Asia (2018) |
| Telephone system: | domestic: fixed-line system provided by both a government-owned and commercial provider; wireless service expanding rapidly; fixed-line 4 per 100 and mobile-cellular 178 per 100 (2018) |
| Telephone system: | international: country code - 66; landing points for the AAE-1, FEA, SeaMeWe-3,-4, APG, SJC2, TIS, MCT and AAG submarine cable systems providing links throughout Asia, Australia, Africa, Middle East, Europe, and US; satellite earth stations - 2 Intelsat (1 Indian Ocean, 1 Pacific Ocean) (2019) |
| Broadcast media: | 26 digital TV stations in Bangkok broadcast nationally, 6 terrestrial TV stations in Bangkok broadcast nationally via relay stations - 2 of the stations are owned by the military, the other 4 are government-owned or controlled, leased to private enterprise, and all are required to broadcast government-produced news programs twice a day; multi-channel satellite and cable TV subscription services are available; radio frequencies have been allotted for more than 500 government and commercial radio stations; many small community radio stations operate with low-power transmitters (2017) |
| Internet country code: | .th |
| Internet users: | total: 32,398,778 |
| Internet users: | percent of population: 47.5% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 8.208 million |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 12 (2017 est.) |
