| Communications | Hong Kong |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 4,266,837 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 59 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 18,340,347 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 255 (2017 est.) |
| Telephone system: | general assessment: modern facilities provide excellent domestic and international services; some of the highest peak average broadband speeds in the world; HK aims toÂ be amongÂ the earliest adopters of 5G mobile technology as early as 2020; almost all households have access to high-speed broadband connectivity; in the next five years the governmentÂ has organizedÂ the development ofÂ 'smart cities' in six areasÂ -Â "smart mobility", "smart living", "smart environment", "smart people", "smart government", and "smart economy" Â by 2022 (2018) |
| Telephone system: | domestic: microwave radio relay links and extensive fiber-optic network; fixed-line is 59 per 100 and mobile-cellular is 255 per 100 (2018) |
| Telephone system: | international: country code - 852;Â APG, ASE, EAC-C2C, HK-G,Â Bay-to-Bay Express Cable System, H2 Cable,Â HKA, SJC, SJC2, PLCN, SeaMeWe-3, TGN-IA, APCN-2, AAG, FLAGÂ and FEAÂ submarine cables provide connections to Asia, US, Australia, the Middle East, andÂ Europe; satellite earth stations - 3 Intelsat (1 Pacific Ocean and 2 Indian Ocean); coaxial cable to Guangzhou, China (2019) |
| Broadcast media: | 4 commercial terrestrial TV networks each with multiple stations; multi-channel satellite and cable TV systems available; 3 licensed broadcasters of terrestrial radio, one of which is government funded, operate about 12 radio stations; note - 4 digital radio broadcasters operated in Hong Kong from 2010 to 2017, but all digital radio services were terminated in September 2017 due to weak market demand (2019) |
| Internet country code: | .hk |
| Internet users: | total: 6.066 million |
| Internet users: | percent of population: 85% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 2,645,752 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 37 (2017 est.) |
