| Communications | Nauru |
| --- | --- |
| Telephones - main lines in use: | 1,900 (2009) |
| Telephones - mobile cellular: | 6,700 (2011) |
| Telephone system: | general assessment: adequate local and international radiotelephone communication provided via Australian facilities |
| Telephone system: | domestic: NA |
| Telephone system: | international: country code - 674; satellite earth station - 1 Intelsat (Pacific Ocean) |
| Broadcast media: | 1 government-owned TV station broadcasting programs from New Zealand sent via satellite or on videotape; 1 government-owned radio station, broadcasting on AM and FM, utilizes Australian and British programs (2009) |
| Internet country code: | .nr |
| Internet hosts: | 8,162 (2012) |
