| Communications | Nauru |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,900 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 14 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 9,212 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 94.58 (2019 est.) |
| Telecommunication systems: | general assessment: adequate local and international radiotelephone communication provided via Australian facilities; geography is a challenge for the islands;Â there is aÂ need to service the tourism sectorÂ and theÂ South Pacific Islands economy; mobile technology is booming (2018) |
| Telecommunication systems: | domestic: fixed-line 14 per 100 and mobile-cellular 95 per 100 (2019) |
| Telecommunication systems: | international: country code - 674; satellite earth station - 1 Intelsat (Pacific Ocean) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 1 government-owned TV station broadcasting programs from New Zealand sent via satellite or on videotape; 1 government-owned radio station, broadcasting on AM and FM, utilizes Australian and British programs (2019) |
| Internet country code: | .nr |
| Internet users: | total: 5,524 |
| Internet users: | percent of population: 57% (July 2018 est.) |
