| Communications | Jamaica |
| --- | --- |
| Telephones - main lines in use: | 263,100 (2010) |
| Telephones - mobile cellular: | 3.103 million (2010) |
| Telephone system: | general assessment: fully automatic domestic telephone network |
| Telephone system: | domestic: the 1999 agreement to open the market for telecommunications services resulted in rapid growth in mobile-cellular telephone usage while the number of fixed-lines in use has declined; combined mobile-cellular teledensity exceeded 110 per 100 persons in 2009 |
| Telephone system: | international: country code - 1-876; the Fibralink submarine cable network provides enhanced delivery of business and broadband traffic and is linked to the Americas Region Caribbean Ring System (ARCOS-1) submarine cable in the Dominican Republic; the link to ARCOS-1 provides seamless connectivity to US, parts of the Caribbean, Central America, and South America; satellite earth stations - 2 Intelsat (Atlantic Ocean) (2008) |
| Broadcast media: | privately-owned Radio Jamaica Limited and its subsidiaries operate multiple television stations, subscription cable services, and radio stations; 2 other privately-owned television stations broadcast; roughly 70 radio stations (2007) |
| Internet country code: | .jm |
| Internet hosts: | 3,099 (2010) |
| Internet users: | 1.581 million (2009) |
