| Communications | INDONESIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 29.64 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 12 (2014 est.) |
| Telephones - mobile cellular: | total: 319 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 126 (2014 est.) |
| Telephone system: | general assessment: domestic service includes an interisland microwave system, an HF radio police net, and a domestic satellite communications system; international service good |
| Telephone system: | domestic: coverage provided by existing network has been expanded by use of over 200,000 telephone kiosks many located in remote areas; mobile-cellular subscribership growing rapidly |
| Telephone system: | international: country code - 62; landing point for both the SEA-ME-WE-3 and SEA-ME-WE-4 submarine cable networks that provide links throughout Asia, the Middle East, and Europe; satellite earth stations - 2 Intelsat (1 Indian Ocean and 1 Pacific Ocean) (2011) |
| Broadcast media: | mixture of about a dozen national TV networks - 2 public broadcasters, the remainder private broadcasters - each with multiple transmitters; more than 100 local TV stations; widespread use of satellite and cable TV systems; public radio broadcaster operates 6 national networks, as well as regional and local stations; overall, more than 700 radio stations with more than 650 privately operated (2008) |
| Radio broadcast stations: | AM 678, FM 43, shortwave 82 (1998) |
| Television broadcast stations: | 54 local TV stations (11 national TV networks; each with its group of local transmitters) (2006) |
| Internet country code: | .id |
| Internet users: | total: 42.4 million |
| Internet users: | percent of population: 16.7% (2014 est.) |
