| Communications | Georgia |
| --- | --- |
| Telephones - main lines in use: | 1.345 million (2011) |
| Telephones - mobile cellular: | 4.43 million (2011) |
| Telephone system: | general assessment: fixed-line telecommunications network has limited coverage outside Tbilisi; multiple mobile-cellular providers provide services to an increasing subscribership throughout the country |
| Telephone system: | domestic: cellular telephone networks cover the entire country; mobile-cellular teledensity roughly 100 per 100 people; intercity facilities include a fiber-optic line between T'bilisi and K'ut'aisi |
| Telephone system: | international: country code - 995; the Georgia-Russia fiber optic submarine cable provides connectivity to Russia; international service is available by microwave, landline, and satellite through the Moscow switch; international electronic mail and telex service are available |
| Broadcast media: | 1 state-owned public TV station in Tbilisi and 8 privately-owned TV stations; state-run public broadcaster operates 2 networks; dozens of cable TV operators and several major commercial TV stations are operating; state-owned public radio broadcaster operates 2 networks; several dozen private radio stations (2008) |
| Internet country code: | .ge |
| Internet hosts: | 357,864 (2012) |
| Internet users: | 1.3 million (2009) |
