| Communications | Bahrain |
| --- | --- |
| Telephones - main lines in use: | 276,500 (2011) |
| Telephones - mobile cellular: | 1.694 million (2011) |
| Telephone system: | general assessment: modern system |
| Telephone system: | domestic: modern fiber-optic integrated services; digital network with rapidly growing use of mobile-cellular telephones |
| Telephone system: | international: country code - 973; landing point for the Fiber-Optic Link Around the Globe (FLAG) submarine cable network that provides links to Asia, Middle East, Europe, and US; tropospheric scatter to Qatar and UAE; microwave radio relay to Saudi Arabia; satellite earth station - 1 (2007) |
| Broadcast media: | state-run Bahrain Radio and Television Corporation (BRTC) operates 5 terrestrial TV networks and several radio stations; satellite TV systems provide access to international broadcasts; 1 private FM station directs broadcasts to Indian listeners; radio and TV broadcasts from countries in the region are available (2007) |
| Internet country code: | .bh |
| Internet hosts: | 47,727 (2012) |
| Internet users: | 419,500 (2009) |
