| Communications | SLOVAKIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 920,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 17 (2014 est.) |
| Telephones - mobile cellular: | total: 6.4 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 117 (2014 est.) |
| Telephone system: | general assessment: a modern telecommunications system that has expanded dramatically in recent years with the growth of cellular services |
| Telephone system: | domestic: analog system is now receiving digital equipment and is being enlarged with fiber-optic cable, especially in the larger cities; 3 companies provide nationwide cellular services |
| Telephone system: | international: country code - 421; 3 international exchanges (1 in Bratislava and 2 in Banska Bystrica) are available; Slovakia is participating in several international telecommunications projects that will increase the availability of external services (2011) |
| Broadcast media: | state-owned public broadcaster, Radio and Television of Slovakia (RTVS), operates 3 national TV stations and multiple national and regional radio networks; roughly 35 privately owned TV stations operating nationally, regionally, and locally; about 40% of households are connected to multi-channel cable or satellite TV; more than 20 privately owned radio stations (2008) |
| Radio broadcast stations: | AM 1, FM 22, shortwave 1 (2008) |
| Television broadcast stations: | 37 (2008) |
| Internet country code: | .sk |
| Internet users: | total: 4.5 million |
| Internet users: | percent of population: 82.7% (2014 est.) |
