| Communications | SLOVAKIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 823,594 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 15 (July 2016 est.) |
| Telephones - mobile cellular: | total: 6,989,902 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 128 (July 2016 est.) |
| Telephone system: | general assessment: a modern telecommunications system that has expanded dramatically in recent years with the growth of cellular services |
| Telephone system: | domestic: Slovak Telecom maintains a near monopoly on fixed-line service; four companies provide nationwide cellular services |
| Telephone system: | international: country code - 421; 3 international exchanges (1 in Bratislava and 2 in Banska Bystrica) are available; Slovakia is participating in several international telecommunications projects that will increase the availability of external services (2017) |
| Broadcast media: | state-owned public broadcaster, Radio and Television of Slovakia (RTVS), operates 2 national TV stations and multiple national and regional radio networks; roughly 50 privately owned TV stations operating nationally, regionally, and locally; about 40% of households are connected to multi-channel cable or satellite TV; 32 privately owned radio stations (2016) |
| Internet country code: | .sk |
| Internet users: | total: 4,382,558 |
| Internet users: | percent of population: 80.5% (July 2016 est.) |
