| Communications | Algeria |
| --- | --- |
| Telephones - main lines in use: | 3.314 million (2008) |
| Telephones - mobile cellular: | 31.871 million (2008) |
| Telephone system: | general assessment: a weak network of fixed-main lines, which remains at roughly 10 telephones per 100 persons, is offset by the rapid increase in mobile cellular subscribership; in 2008, combined fixed-line and mobile telephone density surpassed 100 telephones per 100 persons |
| Telephone system: | domestic: privatization of Algeria's telecommunications sector began in 2000; three mobile cellular licenses have been issued and, in 2005, a consortium led by Egypt's Orascom Telecom won a 15-year license to build and operate a fixed-line network in Algeria; the license will allow Orascom to develop high-speed data and other specialized services and contribute to meeting the large unfulfilled demand for basic residential telephony; Internet broadband services began in 2003 |
| Telephone system: | international: country code - 213; landing point for the SEA-ME-WE-4 fiber-optic submarine cable system that provides links to Europe, the Middle East, and Asia; microwave radio relay to Italy, France, Spain, Morocco, and Tunisia; coaxial cable to Morocco and Tunisia; participant in Medarabtel; satellite earth stations - 51 (Intelsat, Intersputnik, and Arabsat) (2008) |
| Radio broadcast stations: | AM 25, FM 1, shortwave 8 (1999) |
| Television broadcast stations: | 46 (plus 216 repeaters) (1995) |
| Internet country code: | .dz |
| Internet hosts: | 510 (2009) |
| Internet users: | 4.1 million (2008) |
