| Communications | Netherlands |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 6.551 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 38 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 20.532 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 120 (2017 est.) |
| Telephone system: | general assessment: highly developed and well maintained; while fixed-line voice market is in decline the VoIP (voiceÂ over Internet protocol) and mobile platforms advance; one of the highest fixed broadband penetration rates in the world; government investments; preparations for 5G trials, plans for 3G network shutdown in 2022; LTE-A services; MNOs and banks launch m-payments system (2019) |
| Telephone system: | domestic: extensive fixed-line, fiber-optic network; large cellular telephone system with five major operators utilizing the third generation of the Global System for Mobile Communications technology; one in five households now use Voice over the Internet Protocol services; fixed-lineÂ 38 per 100 and mobile-cellular 120 per 100 persons (2018) |
| Telephone system: | international: country code - 31; landing points for Farland North, TAT-14, Circe North, Concerto, Ulysses 2, AC-1, UK-Netherlands 14, and COBRAcable submarine cables which provide links to the US and Europe; satellite earth stations - 5 (3 Intelsat - 1 Indian Ocean and 2 Atlantic Ocean, 1 Eutelsat, and 1 Inmarsat) (2019) |
| Broadcast media: | more than 90% of households are connected to cable or satellite TV systems that provide a wide range of domestic and foreign channels; public service broadcast system includes multiple broadcasters, 3 with a national reach and the remainder operating in regional and local markets; 2 major nationwide commercial television companies, each with 3 or more stations, and many commercial TV stations in regional and local markets; nearly 600 radio stations with a mix of public and private stations providing national or regional coverage |
| Internet country code: | .nl |
| Internet users: | total: 15,385,203 |
| Internet users: | percent of population: 90.4% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 7,210,800 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 42 (2017 est.) |
