| Communications | KUWAIT |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 480,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 17 (July 2015 est.) |
| Telephones - mobile cellular: | total: 8.305 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 298 (July 2015 est.) |
| Telephone system: | general assessment: the quality of service is excellent |
| Telephone system: | domestic: new telephone exchanges provide a large capacity for new subscribers; trunk traffic is carried by microwave radio relay, coaxial cable, and open-wire and fiber-optic cable; a mobile-cellular telephone system operates throughout Kuwait, and the country is well-supplied with pay telephones |
| Telephone system: | international: country code - 965; linked to international submarine cable Fiber-Optic Link Around the Globe (FLAG); linked to Bahrain, Qatar, UAE via the Fiber-Optic Gulf (FOG) cable; coaxial cable and microwave radio relay to Saudi Arabia; satellite earth stations - 6 (3 Intelsat - 1 Atlantic Ocean and 2 Indian Ocean, 1 Inmarsat - Atlantic Ocean, and 2 Arabsat) (2015) |
| Broadcast media: | state-owned TV broadcaster operates 4 networks and a satellite channel; several private TV broadcasters have emerged since 2003; satellite TV available with pan-Arab TV stations are especially popular; state-owned Radio Kuwait broadcasts on a number of channels in Arabic and English; first private radio station emerged in 2005; transmissions of at least 2 international radio broadcasters are available (2007) |
| Internet country code: | .kw |
| Internet users: | total: 2.289 million |
| Internet users: | percent of population: 82.1% (July 2015 est.) |
