| Communications | Djibouti |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 36,582 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 4 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 373,052 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 43 (2017 est.) |
| Telephone system: | general assessment: telephone facilities in the city of Djibouti are adequate, as are the microwave radio relay connections to outlying areas of the country; Djibouti is one of the few remaining countries in which the national telco, Djibouti Telecom (DT), has a monopoly on all telecom services, including fixed lines, mobile, Internet and broadband; the lack of competition has meant that the market has not lived up to its potential (2018) |
| Telephone system: | domestic: Djibouti TelecomÂ  (DT) is the sole provider of telecommunications services and utilizes mostly a microwave radio relay network; fiber-optic cable is installed in the capital; rural areas connected via wireless local loop radio systems; mobile cellular coverage is primarily limited to the area in and around Djibouti city; 4 per 100 fixed-line, 43 per 100 moblie-cellular (2018) |
| Telephone system: | international: country code - 253; landing point for the SEA-ME-WE-3 & 5, EASSy, Aden-Djibouti, Africa-1, DARE-1, EIG, MENA, Bridge International, PEACE Cable, and SEACOMÂ fiber-optic submarine cable systems providing links to Asia, the Middle East, Europe,Â Southeast Asia, AustraliaÂ and Africa; satellite earth stations - 2 (1 Intelsat - Indian Ocean and 1 Arabsat) (2019) |
| Broadcast media: | state-owned Radiodiffusion-Television de Djibouti operates the sole terrestrial TV station, as well as the only 2 domestic radio networks; no private TV or radio stations; transmissions of several international broadcasters are available (2019) |
| Internet country code: | .dj |
| Internet users: | total: 111,212 |
| Internet users: | percent of population: 13.1% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 24,389 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 3 (2017 est.) |
