| Communications | SPAIN |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 19.09 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 40 (2014 est.) |
| Telephones - mobile cellular: | total: 50.8 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 106 (2014 est.) |
| Telephone system: | general assessment: well-developed, modern facilities; fixed-line teledensity exceeds 40 per 100 persons |
| Telephone system: | domestic: combined fixed-line and mobile-cellular teledensity exceeds 150 telephones per 100 persons |
| Telephone system: | international: country code - 34; submarine cables provide connectivity to Europe, Middle East, Asia, and US; satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean), NA Eutelsat; tropospheric scatter to adjacent countries (2011) |
| Broadcast media: | a mixture of both publicly operated and privately owned TV and radio stations; overall, hundreds of TV channels are available including national, regional, local, public, and international channels; satellite and cable TV systems available; multiple national radio networks, a large number of regional radio networks, and a larger number of local radio stations; overall, hundreds of radio stations (2008) |
| Radio broadcast stations: | AM 18, FM 250, shortwave 2 (2008) |
| Television broadcast stations: | 379 (2008) |
| Internet country code: | .es |
| Internet users: | total: 35.5 million |
| Internet users: | percent of population: 74.4% (2014 est.) |
