| Communications | Russia |
| --- | --- |
| Telephones - main lines in use: | 44.2 million (2008) |
| Telephones - mobile cellular: | 187.5 million (2008) |
| Telephone system: | general assessment: the telephone system is experiencing significant changes; there are more than 1,000 companies licensed to offer communication services; access to digital lines has improved, particularly in urban centers; Internet and e-mail services are improving; Russia has made progress toward building the telecommunications infrastructure necessary for a market economy; the estimated number of mobile subscribers jumped from fewer than 1 million in 1998 to nearly 188 million in 2008; a large demand for main line service remains unsatisfied |
| Telephone system: | domestic: cross-country digital trunk lines run from Saint Petersburg to Khabarovsk, and from Moscow to Novorossiysk; the telephone systems in 60 regional capitals have modern digital infrastructures; cellular services, both analog and digital, are available in many areas; in rural areas, the telephone services are still outdated, inadequate, and low density |
| Telephone system: | international: country code - 7; Russia is connected internationally by undersea fiber optic cables; digital switches in several cities provide more than 50,000 lines for international calls; satellite earth stations provide access to Intelsat, Intersputnik, Eutelsat, Inmarsat, and Orbita systems (2008) |
| Radio broadcast stations: | AM 323, FM 1,500 est., shortwave 62 (2004) |
| Television broadcast stations: | 7,306 (1998) |
| Internet country code: | .ru; note - Russia also has responsibility for a legacy domain ".su" that was allocated to the Soviet Union and is being phased out |
| Internet hosts: | 7.663 million (2009) |
| Internet users: | 45.25 million (2008) |
