| Communications | Lithuania |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 486,895 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 17 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 4,361,329 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 154 (2017 est.) |
| Telephone system: | general assessment: adequate; being modernized to provide improved international capability and better residential access; SIM card penetration is high for the region; prepaid sector accounts for most subscribers; postpaid subscribers is increasing; LTEÂ networksÂ available to more than 99% of the population; Lithuanian FttP (fiber to the home cable connections for Internet) penetration ranked third highest in Europe (2017) |
| Telephone system: | domestic: 17 per 100 for fixed-line subscriptions; rapid expansion of mobile-cellular services has resulted in a steady decline in the number of fixed-line connections; mobile-cellular teledensity stands at about 154 per 100 persons (2017) |
| Telephone system: | international: country code - 370; major international connections to Denmark, Sweden, and Norway by submarine cable for further transmission by satellite; landline connections to Latvia and Poland (2016) |
| Broadcast media: | public broadcaster operates 3 channels with the third channel - a satellite channel - introduced in 2007; various privately owned commercial TV broadcasters operate national and multiple regional channels; many privately owned local TV stations; multi-channel cable and satellite TV services available; publicly owned broadcaster operates 3 radio networks; many privately owned commercial broadcasters, with repeater stations in various regions throughout the country (2007) |
| Internet country code: | .lt |
| Internet users: | total: 2,122,884 (July 2016 est.) |
| Internet users: | percent of population: 74.4% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 798,769 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 28 (2017 est.) |
