| Communications | Lithuania |
| --- | --- |
| Telephones - main lines in use: | 784,900 (2008) |
| Telephones - mobile cellular: | 5.023 million (2008) |
| Telephone system: | general assessment: adequate; being modernized to provide improved international capability and better residential access |
| Telephone system: | domestic: rapid expansion of mobile-cellular services has resulted in a steady decline in the number of main line subscriptions; mobile-cellular teledensity has increased to about 140 per 100 persons while fixed-line teledensity has dropped to 22 per 100 persons |
| Telephone system: | international: country code - 370; major international connections to Denmark, Sweden, and Norway by submarine cable for further transmission by satellite; landline connections to Latvia and Poland (2008) |
| Radio broadcast stations: | AM 29, FM 142, shortwave 1 (2001) |
| Television broadcast stations: | 44 (may have as many as 100 transmitters, including repeater stations) (2008) |
| Internet country code: | .lt |
| Internet hosts: | 885,064 (2009) |
| Internet users: | 1.777 million (2008) |
