| Communications | Libya |
| --- | --- |
| Telephones - main lines in use: | 1.033 million (2008) |
| Telephones - mobile cellular: | 4.828 million (2008) |
| Telephone system: | general assessment: telecommunications system is state-owned and service is poor, but investment is being made to upgrade; state retains monopoly in fixed-line services; mobile cellular telephone system became operational in 1996; multiple providers for a mobile telephone system that is growing rapidly; combined fixed line and mobile telephone density is approaching 100 telephones per 100 persons |
| Telephone system: | domestic: microwave radio relay, coaxial cable, cellular, tropospheric scatter, and a domestic satellite system with 14 earth stations |
| Telephone system: | international: country code - 218; satellite earth stations - 4 Intelsat, NA Arabsat, and NA Intersputnik; submarine cables to France and Italy; microwave radio relay to Tunisia and Egypt; tropospheric scatter to Greece; participant in Medarabtel (2008) |
| Radio broadcast stations: | AM 16, FM 3, shortwave 3 (2001) |
| Television broadcast stations: | 12 (plus 1 repeater) (1999) |
| Internet country code: | .ly |
| Internet hosts: | 11,751 (2009) |
| Internet users: | 323,000 (2008) |
