| Communications | Spain |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 19,680,973 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 40 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 52,484,655 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 107 (2017 est.) |
| Telephone system: | general assessment: well-developed, modern facilities; one of the largest in Europe, average mobile penetrationÂ for Europe; effective competition with encouraging regulation; investment in 5G technologies and services; more than 60 percent of households have access to fiber to the home broadband connections (2018) |
| Telephone system: | domestic: fixed-line 42 per 100 and mobile-cellular 113 telephones per 100 persons (2018) |
| Telephone system: | international: country code - 34; landing points for the MAREA, Tata TGN-Western Europe, Pencan-9, SAT-3/WASC, Canalink, Atlantis-2, Columbus -111, Estepona-Tetouan, FEA, Balalink, ORVAL and PENBAL-5 submarine cables providing connectivity to Europe, theÂ Middle East, Africa,Â South America,Â Asia, Southeast AsiaÂ and theÂ US; satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean), NA Eutelsat; tropospheric scatter to adjacent countries (2019) |
| Broadcast media: | a mixture of both publicly operated and privately owned TV and radio stations; overall, hundreds of TV channels are available including national, regional, local, public, and international channels; satellite and cable TV systems available; multiple national radio networks, a large number of regional radio networks, and a larger number of local radio stations; overall, hundreds of radio stationsÂ  |
| Broadcast media: | (2019) |
| Internet country code: | .es |
| Internet users: | total: 39,123,384 |
| Internet users: | percent of population: 80.6% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 14,473,888 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 30 (2017 est.) |
