| Communications | Morocco |
| --- | --- |
| Telephones - main lines in use: | 2.991 million (2008) |
| Telephones - mobile cellular: | 22.816 million (2008) |
| Telephone system: | general assessment: modern system with all important capabilities; however, density is low with only 9 fixed lines available for each 100 persons; mobile-cellular subscribership reached 65 per 100 persons in 2008 |
| Telephone system: | domestic: good system composed of open-wire lines, cables, and microwave radio relay links; Internet available but expensive; principal switching centers are Casablanca and Rabat; national network nearly 100% digital using fiber-optic links; improved rural service employs microwave radio relay |
| Telephone system: | international: country code - 212; landing point for the SEA-ME-WE-3 optical telecommunications submarine cable that provides connectivity to Asia, the Middle East, and Europe; satellite earth stations - 2 Intelsat (Atlantic Ocean) and 1 Arabsat; microwave radio relay to Gibraltar, Spain, and Western Sahara; coaxial cable and microwave radio relay to Algeria; participant in Medarabtel; fiber-optic cable link from Agadir to Algeria and Tunisia (2008) |
| Radio broadcast stations: | AM 27, FM 25, shortwave 6 (1998) |
| Television broadcast stations: | 35 (plus 66 repeaters) (1995) |
| Internet country code: | .ma |
| Internet hosts: | 276,521 (2009) |
| Internet users: | 10.3 million (2008) |
