| Communications | Uganda |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 184,065 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 23,957,740 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 57.27 (2019 est.) |
| Telecommunication systems: | general assessment: in recent years, telecommunications infrastructure has developed through private partnerships; as of 2018, fixed fiber backbone infrastructure is available in over half of Ugandaâ€™s districts; mobile phone companies now provide 4G networks across all major cities and national parks, while offering 3G coverage in second-tier cities and most rural areas with road access; between 2016 and 2018, commercial Internet services dropped in price from $300/Mbps to $80/Mbps; consumers rely on mobile infrastructure to provide voice and broadband services as fixed-line infrastructure is poor; 5G migration is a few years off; govt. commissions broadband satellite services for rural areas (2020) |
| Telecommunication systems: | domestic: fixed-line 1 per 100 and mobile- cellular systems teledensity about 57 per 100 persons; intercity traffic by wire, microwave radio relay, and radiotelephone communication stations (2019) |
| Telecommunication systems: | international: country code - 256; satellite earth stations - 1 Intelsat (Atlantic Ocean) and 1 Inmarsat; analog and digital links to Kenya and Tanzania |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | public broadcaster, Uganda Broadcasting Corporation (UBC), operates radio and TV networks; 31 Free-To-Air (FTA) TV stations, 2 digital terrestrial TV stations, 3 cable TV stations, and 5 digital satellite TV stations; 258 operational FM stations |
| Internet country code: | .ug |
| Internet users: | total: 9,620,681 |
| Internet users: | percent of population: 23.71% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 9,485 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2018 est.) |
