| Communications | UGANDA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 320,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (2014 est.) |
| Telephones - mobile cellular: | total: 20.4 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 57 (2014 est.) |
| Telephone system: | general assessment: mobile cellular service is increasing rapidly, but the number of main lines is still deficient; work underway on a national backbone information and communications technology infrastructure; international phone networks and Internet connectivity provided through satellite and VSAT applications |
| Telephone system: | domestic: intercity traffic by wire, microwave radio relay, and radiotelephone communication stations, fixed-line and mobile-cellular systems for short-range traffic; mobile-cellular teledensity about 50 per 100 persons in 2010 |
| Telephone system: | international: country code - 256; satellite earth stations - 1 Intelsat (Atlantic Ocean) and 1 Inmarsat; analog links to Kenya and Tanzania (2011) |
| Broadcast media: | public broadcaster, Uganda Broadcasting Corporation (UBC), operates radio and TV networks; Uganda first began licensing privately owned stations in the 1990s; by 2007, there were nearly 150 radio and 35 TV stations, mostly based in and around Kampala; transmissions of multiple international broadcasters are available in Kampala (2007) |
| Radio broadcast stations: | AM 7, FM 33, shortwave 2 (2001) |
| Television broadcast stations: | 8 (plus 1 repeater) (2001) |
| Internet country code: | .ug |
| Internet users: | total: 6 million |
| Internet users: | percent of population: 16.8% (2014 est.) |
