| Communications | Macau |
| --- | --- |
| Telephones - main lines in use: | 173,533 (2009) |
| Telephones - mobile cellular: | 993,545 (2009) |
| Telephone system: | general assessment: fairly modern communication facilities maintained for domestic and international services |
| Telephone system: | domestic: termination of monopoly over mobile-cellular telephone services in 2001 spurred sharp increase in subscriptions with mobile-cellular teledensity approaching 180 per 100 persons in 2008; fixed-line subscribership appears to have peaked and is now in decline |
| Telephone system: | international: country code - 853; landing point for the SEA-ME-WE-3 submarine cable network that provides links to Asia, the Middle East, and Europe; HF radiotelephone communication facility; satellite earth station - 1 Intelsat (Indian Ocean) (2009) |
| Radio broadcast stations: | AM 1, FM 2, shortwave 0 (2008) |
| Television broadcast stations: | 1 (2008) |
| Internet country code: | .mo |
| Internet hosts: | 244 (2009) |
| Internet users: | 259,000 (2008) |
