| Communications | BURUNDI |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 19,540 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (July 2016 est.) |
| Telephones - mobile cellular: | total: 5,357,816 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 48 (July 2016 est.) |
| Telephone system: | general assessment: sparse system of open-wire, radiotelephone communications, and low-capacity microwave radio relays |
| Telephone system: | domestic: telephone density one of the lowest in the world; fixed-line connections stand at well less than 1 per 100 persons; mobile-cellular usage is approaching 50 per 100 persons |
| Telephone system: | international: country code - 257; satellite earth station - 1 Intelsat (Indian Ocean) (2016) |
| Broadcast media: | state-controlled Radio Television Nationale de Burundi (RTNB) operates a TV station and a national radio network; 3 private TV stations and about 10 privately owned radio stations; transmissions of several international broadcasters are available in Bujumbura (2017) |
| Internet country code: | .bi |
| Internet users: | total: 574,236 |
| Internet users: | percent of population: 5.2% (July 2016 est.) |
