| Communications | Gabon |
| --- | --- |
| Telephones - main lines in use: | 17,000 (2012) |
| Telephones - mobile cellular: | 2.93 million (2012) |
| Telephone system: | general assessment: adequate system of cable, microwave radio relay, tropospheric scatter, radiotelephone communication stations, and a domestic satellite system with 12 earth stations |
| Telephone system: | domestic: a growing mobile-cellular network with multiple providers is making telephone service more widely available with mobile-cellular teledensity exceeding 100 per 100 persons |
| Telephone system: | international: country code - 241; landing point for the SAT-3/WASC fiber-optic submarine cable that provides connectivity to Europe and Asia; satellite earth stations - 3 Intelsat (Atlantic Ocean) (2011) |
| Broadcast media: | state owns and operates 2 TV stations and 2 radio broadcast stations; a few private radio and TV stations; transmissions of at least 2 international broadcasters are accessible; satellite service subscriptions are available (2007) |
| Internet country code: | .ga |
| Internet hosts: | 127 (2012) |
| Internet users: | 98,800 (2009) |
