| Communications | Gabon |
| --- | --- |
| Telephones - main lines in use: | 26,500 (2008) |
| Telephones - mobile cellular: | 1.3 million (2008) |
| Telephone system: | general assessment: adequate service by African standards and improving with the help of a growing mobile cell network system with multiple providers; mobile-cellular subscribership reached nearly 90 per 100 persons in 2008 |
| Telephone system: | domestic: adequate system of cable, microwave radio relay, tropospheric scatter, radiotelephone communication stations, and a domestic satellite system with 12 earth stations |
| Telephone system: | international: country code - 241; landing point for the SAT-3/WASC fiber-optic submarine cable that provides connectivity to Europe and Asia; satellite earth stations - 3 Intelsat (Atlantic Ocean) (2008) |
| Radio broadcast stations: | AM 6, FM 7 (plus 11 repeaters), shortwave 4 (2001) |
| Television broadcast stations: | 4 (plus 4 repeaters) (2001) |
| Internet country code: | .ga |
| Internet hosts: | 91 (2009) |
| Internet users: | 90,000 (2008) |
