| Communications | TOGO |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 63,200 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (2014 est.) |
| Telephones - mobile cellular: | total: 4.8 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 66 (2014 est.) |
| Telephone system: | general assessment: fair system based on a network of microwave radio relay routes supplemented by open-wire lines and a mobile-cellular system |
| Telephone system: | domestic: microwave radio relay and open-wire lines for conventional system; combined fixed-line and mobile-cellular teledensity roughly 50 telephones per 100 persons with mobile-cellular use predominating |
| Telephone system: | international: country code - 228; satellite earth stations - 1 Intelsat (Atlantic Ocean), 1 Symphonie (2010) |
| Broadcast media: | 2 state-owned TV stations with multiple transmission sites; 5 private TV stations broadcast locally; cable TV service is available; state-owned radio network with multiple stations; several dozen private radio stations and a few community radio stations; transmissions of multiple international broadcasters available (2007) |
| Radio broadcast stations: | AM 2, FM 9, shortwave 4 (1998) |
| Television broadcast stations: | 3 (plus 2 repeaters) (1997) |
| Internet country code: | .tg |
| Internet users: | total: 336,000 |
| Internet users: | percent of population: 4.6% (2014 est.) |
