| Communications | Togo |
| --- | --- |
| Telephones - main lines in use: | 240,000 (2011) |
| Telephones - mobile cellular: | 3.105 million (2011) |
| Telephone system: | general assessment: fair system based on a network of microwave radio relay routes supplemented by open-wire lines and a mobile-cellular system |
| Telephone system: | domestic: microwave radio relay and open-wire lines for conventional system; combined fixed-line and mobile-cellular teledensity roughly 50 telephones per 100 persons with mobile-cellular use predominating |
| Telephone system: | international: country code - 228; satellite earth stations - 1 Intelsat (Atlantic Ocean), 1 Symphonie |
| Broadcast media: | 2 state-owned TV stations with multiple transmission sites; 5 private TV stations broadcast locally; cable TV service is available; state-owned radio network with multiple stations; several dozen private radio stations and a few community radio stations; transmissions of multiple international broadcasters available (2007) |
| Internet country code: | .tg |
| Internet hosts: | 1,168 (2012) |
| Internet users: | 356,300 (2009) |
