| Communications | Lesotho |
| --- | --- |
| Telephones - main lines in use: | 40,000 (2009) |
| Telephones - mobile cellular: | 661,000 (2009) |
| Telephone system: | general assessment: rudimentary system consisting of a modest number of landlines, a small microwave radio relay system, and a small radiotelephone communication system; mobile-cellular telephone system is expanding |
| Telephone system: | domestic: privatized in 2001, Telecom Lesotho was tasked with providing an additional 50,000 fixed-line connections within five years, a target not met; mobile-cellular service dominates the market and is expanding with a subscribership exceeding 30 per 100 persons in 2009; rural services are scant |
| Telephone system: | international: country code - 266; satellite earth station - 1 Intelsat (Atlantic Ocean) (2009) |
| Broadcast media: | 1 state-owned TV station and 2 state-owned radio stations; government controls most private broadcast media; satellite TV subscription service is available; transmissions of multiple international broadcasters are obtainable (2008) |
| Internet country code: | .ls |
| Internet hosts: | 632 (2010) |
| Internet users: | 76,800 (2009) |
