| Communications | Lesotho |
| --- | --- |
| Telephones - main lines in use: | 38,600 (2011) |
| Telephones - mobile cellular: | 1.232 million (2011) |
| Telephone system: | general assessment: rudimentary system consisting of a modest number of landlines, a small microwave radio relay system, and a small radiotelephone communication system; mobile-cellular telephone system is expanding |
| Telephone system: | domestic: privatized in 2001, Telecom Lesotho was tasked with providing an additional 50,000 fixed-line connections within five years, a target not met; mobile-cellular service dominates the market and is expanding with a subscribership roughly 65 per 100 persons in 2011; rural services are scant |
| Telephone system: | international: country code - 266; satellite earth station - 1 Intelsat (Atlantic Ocean) |
| Broadcast media: | 1 state-owned TV station and 2 state-owned radio stations; government controls most private broadcast media; satellite TV subscription service available; transmissions of multiple international broadcasters obtainable (2008) |
| Internet country code: | .ls |
| Internet hosts: | 11,030 (2012) |
| Internet users: | 76,800 (2009) |
