| Communications | CENTRAL AFRICAN REPUBLIC |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,964 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (July 2016 est.) |
| Telephones - mobile cellular: | total: 982,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 18 (July 2016 est.) |
| Telephone system: | general assessment: network consists principally of microwave radio relay and low-capacity, low-powered radiotelephone communication |
| Telephone system: | domestic: very limited telephone service with less than 1 fixed-line connection per 100 persons; spurred by the presence of multiple mobile-cellular service providers, cellular usage is increasing from a low base; most fixed-line and mobile-cellular telephone services are concentrated in Bangui |
| Telephone system: | international: country code - 236; satellite earth station - 1 Intelsat (Atlantic Ocean) (2015) |
| Broadcast media: | government-owned network, Radiodiffusion Television Centrafricaine, provides limited domestic TV broadcasting; state-owned radio network is supplemented by a small number of privately owned broadcast stations as well as a few community radio stations; transmissions of at least 2 international broadcasters are available (2017) |
| Internet country code: | .cf |
| Internet users: | total: 246,000 |
| Internet users: | percent of population: 4.6% (July 2016 est.) |
