| Communications | Central African Republic |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,964 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 1,248,346 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 22 (July 2016 est.) |
| Telephone system: | general assessment: network consists principally of microwave radio relay and at low-capacity; ongoing conflict hasÂ obstructedÂ telecommunication and media development,Â although there areÂ ISP (Internet service providers) and mobile phone carriers,Â radio is the most-popular communications medium (2018) |
| Telephone system: | domestic: very limited telephone service with less than 1 fixed-line connection per 100 persons; with the presence of multiple providersÂ mobile-cellular serviceÂ has reachedÂ 22 per 100 mobile-cellular subscribers; cellular usage is increasing from a low base; most fixed-line and mobile-cellular telephone services are concentrated in Bangui (2018) |
| Telephone system: | international: country code - 236; satellite earth station - 1 Intelsat (Atlantic Ocean) |
| Broadcast media: | government-owned network, Radiodiffusion Television Centrafricaine, provides limited domestic TV broadcasting; state-owned radio network is supplemented by a small number of privately owned broadcast stations as well as a few community radio stations; transmissions of at least 2 international broadcasters are available (2017) |
| Internet country code: | .cf |
| Internet users: | total: 246,000 |
| Internet users: | percent of population: 4.6% (July 2016 est.) |
