| Communications | Belize |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 18,617 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 4.74 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 256,479 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 65.3 (2019 est.) |
| Telecommunication systems: | general assessment: govt. telecom company, Belize Telemedia Ltd., continues to hold a monopoly in fixed-line services, mobile and broadband fixed-line teledensity; it is a small market; fixed-line teledensity and mobile penetration below regional average; lack of competition and underinvestment in telecom system, make it pricey for consumer (2020) |
| Telecommunication systems: | domestic: 5 per 100 fixed-line and mobile-cellular teledensity approaching 65 per 100 persons; mobile sector accounting for over 90% of all phone subscriptions (2019) |
| Telecommunication systems: | international: country code - 501; landing points for theÂ ARCOS and SEULÂ fiber-optic telecommunications submarine cable that provides links to South and Central America, parts of the Caribbean, and the US; satellite earth station - 8 (Intelsat - 2, unknown - 6) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 8 privately owned TV stations; multi-channel cable TV provides access to foreign stations; about 25 radio stations broadcasting on roughly 50 different frequencies; state-run radio was privatized in 1998 (2019) |
| Internet country code: | .bz |
| Internet users: | total: 181,660 |
| Internet users: | percent of population: 47.08% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 24,658 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 6 (2018 est.) |
