| Communications | San Marino |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 16,070 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 47.25 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 38,921 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 114.44 (2019 est.) |
| Telecommunication systems: | general assessment: automatic telephone system completely integrated into Italian system (2018) |
| Telecommunication systems: | domestic: fixed-line 47 per 100 and mobile-cellular teledensity 114 telephones per 100 persons (2019) |
| Telecommunication systems: | international: country code - 378; connected to Italian international network |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | state-owned public broadcaster operates 1 TV station and 3 radio stations; receives radio and TV broadcasts from Italy (2019) |
| Internet country code: | .sm |
| Internet users: | total: 20,328 |
| Internet users: | percent of population: 60.18% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 12,500 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 37 (2017 est.) |
