| Communications | DOMINICAN REPUBLIC |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,345,091 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 13 (July 2016 est.) |
| Telephones - mobile cellular: | total: 8,708,131 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 82 (July 2016 est.) |
| Telephone system: | general assessment: relatively efficient system based on island-wide microwave radio relay network |
| Telephone system: | domestic: fixed-line teledensity is about 13 per 100 persons; multiple providers of mobile-cellular service with a subscribership of over 80 per 100 persons |
| Telephone system: | international: country code - 1-809; 1-829; 1-849; landing point for the Americas Region Caribbean Ring System (ARCOS-1), Antillas 1, AMX-1, and the Fibralink submarine cables that provide links to South and Central America, parts of the Caribbean, and US; satellite earth station - 1 Intelsat (Atlantic Ocean) (2016) |
| Broadcast media: | combination of state-owned and privately owned broadcast media; 1 state-owned TV network and a number of private TV networks; networks operate repeaters to extend signals throughout country; combination of state-owned and privately owned radio stations with more than 300 radio stations operating (2015) |
| Internet country code: | .do |
| Internet users: | total: 6,504,998 |
| Internet users: | percent of population: 61.3% (July 2016 est.) |
