| Communications | COTE D'IVOIRE |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 240,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (2014 est.) |
| Telephones - mobile cellular: | total: 22.1 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 97 (2014 est.) |
| Telephone system: | general assessment: well-developed by African standards; telecommunications sector privatized in late 1990s and operational fixed lines have increased since that time with two fixed-line providers operating over open-wire lines, microwave radio relay, and fiber-optics; 90% digitalized |
| Telephone system: | domestic: with multiple mobile-cellular service providers competing in the market, usage has increased sharply to roughly 80 per 100 persons |
| Telephone system: | international: country code - 225; landing point for the SAT-3/WASC fiber-optic submarine cable that provides connectivity to Europe and Asia; satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean) (2011) |
| Broadcast media: | 2 state-owned TV stations; no private terrestrial TV stations, but satellite TV subscription service is available; 2 state-owned radio stations; some private radio stations; transmissions of several international broadcasters are available (2007) |
| Radio broadcast stations: | AM 2, FM 9, shortwave 3 (1998) |
| Television broadcast stations: | 14 (1998) |
| Internet country code: | .ci |
| Internet users: | total: 621,500 |
| Internet users: | percent of population: 2.7% (2014 est.) |
