| Communications | Puerto Rico |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 758,869 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 23.42 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 3,724,680 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 114.95 (2019 est.) |
| Telecommunication systems: | general assessment: modern system integrated with that of the US by high-capacity submarine cable and Intelsat with high-speed data capability; havoc caused byÂ hurricane MariaÂ in 2017 and earthquake in 2020, has left the island lagging behind the mainland US both economically and technologically; competition among network operators helps with growth; availability of LTE coverage increasing to 90%; operators expanding and securing 600 MHz spectrum, LTE reach and launching services based on 5G to majority of the population (2020) |
| Telecommunication systems: | domestic: digital telephone system; mobile-cellular services; fixed-line 23 per 100 and mobile-cellular 115 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 1-787, 939; landing points for the GTMO-PR, AMX-1, BRUSA, GCN, PCCS, SAm-1, Southern Caribbean Fiber, Americas-II, Antillas, ARCOS, SMPR-1, and Taino-Carib submarine cables providing connectivity to the mainland US, Caribbean, Central and South America; satellite earth station - 1 Intelsat (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | more than 30 TV stations operating; cable TV subscription services are available; roughly 125 radio stations |
| Internet country code: | .pr |
| Internet users: | total: 2,326,006 |
| Internet users: | percent of population: 70.6% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 609,027 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 18 (2018 est.) |
