| Communications | Afghanistan |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 125,232 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 21,239,280 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 59.36 (2019 est.) |
| Telecommunication systems: | general assessment: progress has been made on Afghanistan's first limited fixed-line telephone service and nationwide optical fiber backbone; aided by the presence of multiple providers, mobile-cellular telephone service continues to improve swiftly; the Afghan Ministry of Communications and Information claims that more than 90% of the population live in areas with access to mobile cellular service; moderate growth through 2024, assuming stable governance and improving economic environment (2020) |
| Telecommunication systems: | domestic: less than 1 per 100 for fixed-line teledensity; 59 per 100 for mobile-cellular; an increasing number of Afghans utilize mobile-cellular phone networks (2019) |
| Telecommunication systems: | international: country code - 93; multiple VSAT'sÂ provide international and domestic voice and data connectivity (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | state-owned broadcaster, Radio Television Afghanistan (RTA), operates a series of radio and television stations in Kabul and the provinces; an estimated 174 private radio stations,Â 83 TV stations, and about a dozen international broadcasters are available (2019) |
| Internet country code: | .af |
| Internet users: | total: 4,717,013 |
| Internet users: | percent of population: 13.5% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 15,999 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2018 est.) |
