| Communications | PARAGUAY |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 368,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 5 (July 2016 est.) |
| Telephones - mobile cellular: | total: 7,489,474 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 109 (July 2016 est.) |
| Telephone system: | general assessment: the fixed-line market is a state monopoly and fixed-line telephone service is meager; principal switching center is in Asuncion |
| Telephone system: | domestic: deficiencies in provision of fixed-line service have resulted in a rapid expansion of mobile-cellular services fostered by competition among multiple providers; Internet market also open to competition |
| Telephone system: | international: country code - 595; satellite earth station - 1 Intelsat (Atlantic Ocean) (2016) |
| Broadcast media: | 6 privately owned TV stations; about 75 commercial and community radio stations; 1 state-owned radio network (2010) |
| Internet country code: | .py |
| Internet users: | total: 3,524,045 |
| Internet users: | percent of population: 51.3% (July 2016 est.) |
