| Communications | PARAGUAY |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 384,135 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 6 (July 2015 est.) |
| Telephones - mobile cellular: | total: 7.412 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 109 (July 2015 est.) |
| Telephone system: | general assessment: the fixed-line market is a state monopoly and fixed-line telephone service is meager; principal switching center is in Asuncion |
| Telephone system: | domestic: deficiencies in provision of fixed-line service have resulted in a rapid expansion of mobile-cellular services fostered by competition among multiple providers |
| Telephone system: | international: country code - 595; satellite earth station - 1 Intelsat (Atlantic Ocean) (2015) |
| Broadcast media: | 6 privately owned TV stations; about 75 commercial and community radio stations; 1 state-owned radio network (2010) |
| Internet country code: | .py |
| Internet users: | total: 3.011 million |
| Internet users: | percent of population: 44.4% (July 2015 est.) |
