| Communications | KOREA, NORTH |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1.18 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 5 (2014 est.) |
| Telephones - mobile cellular: | total: 2.8 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 11 (2014 est.) |
| Telephone system: | general assessment: adequate system; nationwide fiber-optic network; mobile-cellular service expanding beyond Pyongyang |
| Telephone system: | domestic: fiber-optic links installed down to the county level; telephone directories unavailable; GSM mobile-cellular service initiated in 2002 but suspended in 2004; Orascom Telecom Holding, an Egyptian company, launched W-CDMA mobile service on 15 December 2008 for the Pyongyang area, has expanded service to several large cities and now has a 1-million-person subscriber base |
| Telephone system: | international: country code - 850; satellite earth stations - 2 (1 Intelsat - Indian Ocean, 1 Russian - Indian Ocean region); other international connections through Moscow and Beijing (2011) |
| Broadcast media: | no independent media; radios and TVs are pre-tuned to government stations; 4 government-owned TV stations; the Korean Workers' Party owns and operates the Korean Central Broadcasting Station, and the state-run Voice of Korea operates an external broadcast service; the government prohibits listening to and jams foreign broadcasts (2008) |
| Radio broadcast stations: | AM 17 (including 11 stations of Korean Central Broadcasting Station; North Korea has a "national intercom" cable radio station wired throughout the country that is a significant source of information for the average North Korean citizen; it is wired into most residences and workplaces and carries news and commentary), FM 14, shortwave 14 (2006) |
| Television broadcast stations: | 4 (includes Korean Central Television, Mansudae Television, Korean Educational and Cultural Network, and Kaesong Television targeting South Korea) (2003) |
| Internet country code: | .kp |
