| Communications | ITALY |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 20,236,305 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 33 (July 2015 est.) |
| Telephones - mobile cellular: | total: 92.52 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 150 (July 2015 est.) |
| Telephone system: | general assessment: modern, well-developed, fast; fully automated telephone, telex, and data services |
| Telephone system: | domestic: high-capacity cable and microwave radio relay trunks |
| Telephone system: | international: country code - 39; a series of submarine cables provide links to Asia, Middle East, Europe, North Africa, and US; satellite earth stations - 3 Intelsat (with a total of 5 antennas - 3 for Atlantic Ocean and 2 for Indian Ocean), 1 Inmarsat (Atlantic Ocean region), and NA Eutelsat (2015) |
| Broadcast media: | two Italian media giants dominate - the publicly owned Radiotelevisione Italiana (RAI) with 3 national terrestrial stations and privately owned Mediaset with 3 national terrestrial stations; a large number of private stations and Sky Italia - a satellite TV network; RAI operates 3 AM/FM nationwide radio stations; about 1,300 commercial radio stations (2007) |
| Internet country code: | .it |
| Internet users: | total: 40.559 million |
| Internet users: | percent of population: 65.6% (July 2015 est.) |
