| Communications | El Salvador |
| --- | --- |
| Telephones - main lines in use: | 1.03 million (2011) |
| Telephones - mobile cellular: | 8.316 million (2011) |
| Telephone system: | general assessment: multiple mobile-cellular providers are expanding services rapidly and in 2011 teledensity exceeded 135 per 100 persons; growth in fixed-line services has slowed in the face of mobile-cellular competition |
| Telephone system: | domestic: nationwide microwave radio relay system |
| Telephone system: | international: country code - 503; satellite earth station - 1 Intelsat (Atlantic Ocean); connected to Central American Microwave System (2011) |
| Broadcast media: | multiple privately-owned national terrestrial TV networks, supplemented by cable TV networks that carry international channels; hundreds of commercial radio broadcast stations and 1 government-owned radio broadcast station (2007) |
| Internet country code: | .sv |
| Internet hosts: | 24,070 (2012) |
| Internet users: | 746,000 (2009) |
