| Communications | UNITED ARAB EMIRATES |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,285,809 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 39 (July 2016 est.) |
| Telephones - mobile cellular: | total: 19,905,093 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 336 (July 2016 est.) |
| Telephone system: | general assessment: modern fiber-optic integrated services; digital network with rapidly growing use of mobile-cellular telephones; key centers are Abu Dhabi and Dubai |
| Telephone system: | domestic: microwave radio relay, fiber-optic and coaxial cable |
| Telephone system: | international: country code - 971; linked to the international submarine cable FLAG (Fiber-Optic Link Around the Globe); landing point for both the SEA-ME-WE-3 and SEA-ME-WE-4 submarine cable networks; satellite earth stations - 3 Intelsat (1 Atlantic Ocean and 2 Indian (2016) |
| Broadcast media: | except for the many organizations now operating in media free zones in Abu Dhabi and Dubai, most TV and radio stations remain government-owned; widespread use of satellite dishes provides access to pan-Arab and other international broadcasts (2017) |
| Internet country code: | .ae |
| Internet users: | total: 5,370,299 |
| Internet users: | percent of population: 90.6% (July 2016 est.) |
