| Communications | Guinea-Bissau |
| --- | --- |
| Telephones - main lines in use: | 5,000 (2010) |
| Telephones - mobile cellular: | 869,100 (2011) |
| Telephone system: | general assessment: small system including a combination of microwave radio relay, open-wire lines, radiotelephone, and mobile-cellular communications |
| Telephone system: | domestic: fixed-line teledensity less than 1 per 100 persons; mobile-cellular teledensity is roughly 50 per 100 persons |
| Telephone system: | international: country code - 245 |
| Broadcast media: | 1 state-owned TV station and a second station, Radio e Televisao de Portugal (RTP) Africa, is operated by Portuguese public broadcaster (RTP); 1 state-owned radio station, several private radio stations, and some community radio stations; multiple international broadcasters are available (2007) |
| Internet country code: | .gw |
| Internet hosts: | 90 (2012) |
| Internet users: | 37,100 (2009) |
