| Communications | Guinea-Bissau |
| --- | --- |
| Telephones - fixed lines: | 0 |
| Telephones - mobile cellular: | total subscriptions: 1,434,822 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 80 (2017 est.) |
| Telephone system: | general assessment: small system including a combination of microwave radio relay, open-wire lines, radiotelephone, and mobile cellular communications;Â 2 mobile network operators (MTN and Orange) (2018) |
| Telephone system: | domestic: fixed-line teledensity less than 1 per 100 persons; mobile cellular teledensity is roughly 70 per 100 persons (2018) |
| Telephone system: | international: country code - 245; ACE submarine cable connecting Guinea-Bissau with 20 landing points in Western and South Africa and Europe (2019) |
| Broadcast media: | 1 state-owned TV station, Televisao da Guine-Bissau (TGB) and a second station, Radio e Televisao de Portugal (RTP) Africa, is operated by Portuguese public broadcaster (RTP); 1 state-owned radio station, several private radio stations, and some community radio stations; multiple international broadcasters are available (2019) |
| Internet country code: | .gw |
| Internet users: | total: 66,169 |
| Internet users: | percent of population: 3.8% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 629 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
