| Communications | Guinea-Bissau |
| --- | --- |
| Telephones - main lines in use: | 4,800 (2009) |
| Telephones - mobile cellular: | 560,300 (2009) |
| Telephone system: | general assessment: small system including a combination of microwave radio relay, open-wire lines, radiotelephone, and mobile-cellular communications |
| Telephone system: | domestic: fixed-line teledensity less than 1 per 100 persons; mobile-cellular teledensity reached 35 per 100 in 2009 |
| Telephone system: | international: country code - 245 (2008) |
| Broadcast media: | 1 state-owned TV station and a second station, RTP Africa, is operated by Portuguese public broadcaster RTP; 1 state-owned radio station, several private radio stations, and some community radio stations; multiple international broadcasters are available (2007) |
| Internet country code: | .gw |
| Internet hosts: | 82 (2010) |
| Internet users: | 37,100 (2009) |
