| Communications | Kosovo |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 117,317 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 6.11 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 620,186 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 32.3 (2019 est.) |
| Telecommunication systems: | general assessment: Kosovo being part of the EUÂ pre-accession process has helped with theirÂ progress in the telecom industry,Â following aÂ regulatory framework,Â European standards, andÂ a market of new playersÂ encourages development in its telecommunications; 2 MNOs dominate the sector; poor telecom infrastructure means low fixed-line penetration; little expansion of fiber networks for broadband; expansion of LTE services (2020) |
| Telecommunication systems: | domestic: fixed-line stands at 6 per 100 and mobile-cellular 32 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 383 |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Internet country code: | .xk |
| Internet country code: | note: assigned as a temporary code under UN Security Council resolution 1244/99 |
| Internet users: | total: 1,706,150 |
| Internet users: | percent of population: 89.44% (July 2018 est.) |
