| Communications | EL SALVADOR |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 944,266 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 15 (July 2015 est.) |
| Telephones - mobile cellular: | total: 9.334 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 152 (July 2015 est.) |
| Telephone system: | general assessment: multiple mobile-cellular providers are expanding services rapidly; growth in fixed-line services has slowed in the face of mobile-cellular competition |
| Telephone system: | domestic: nationwide microwave radio relay system |
| Telephone system: | international: country code - 503; satellite earth station - 1 Intelsat (Atlantic Ocean); connected to Central American Microwave System (2015) |
| Broadcast media: | multiple privately owned national terrestrial TV networks, supplemented by cable TV networks that carry international channels; hundreds of commercial radio broadcast stations and 1 government-owned radio broadcast station (2007) |
| Internet country code: | .sv |
| Internet users: | total: 1.653 million |
| Internet users: | percent of population: 26.9% (July 2015 est.) |
